"ID","Date","Reference Number","Description","Memo","Amount","Category Name"
1,8/23/2018 0:00:00,"0","HARTLAND'S FINEST","PURCHASE            HARTLAND'S F",-4.77,
2,8/23/2018 0:00:00,"0","CULVER'S OF HOWELL","PURCHASE            CULVER'S OF",-19.69,
3,8/23/2018 0:00:00,"63101","MEIJER # 063","PURCHASE            MEIJER # 063",-16.83,
4,8/24/2018 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    180824",424.33,
5,8/24/2018 0:00:00,"734701","BP#6895056DANN","PURCHASE            BP#6895056DA",-1.49,
6,8/24/2018 0:00:00,"2046","HEFLING'S AMISH FA","PURCHASE            HEFLING'S AM",-21.77,
7,8/27/2018 0:00:00,"0","HARPER LIQUOR LAND","PURCHASE            HARPER LIQUO",-21.19,
8,8/27/2018 0:00:00,"0","TACO BELL #27361","PURCHASE            TACO BELL #2",-6.34,
9,8/27/2018 0:00:00,"63112","MEIJER # 063","PURCHASE            MEIJER # 063",-19.85,
10,8/29/2018 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-6.24,
11,8/29/2018 0:00:00,"907425","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-19.35,
12,8/29/2018 0:00:00,"63102","MEIJER # 063","PURCHASE            MEIJER # 063",-17.82,
13,9/4/2018 0:00:00,"335406","BURLNGTON STORES46","PURCHASE            BURLNGTON ST",-31.79,
14,9/4/2018 0:00:00,"0","CONSUMERS ENERGY CO","PURCHASE            CONSUMERS EN",-25.76,
15,9/4/2018 0:00:00,"5212","7-ELEVEN","PURCHASE            7-ELEVEN",-9.85,
16,9/4/2018 0:00:00,"0","MERCURY BURGER BAR","PURCHASE            MERCURY BURG",-47.13,
17,9/4/2018 0:00:00,"0","LJ'S SWEETHART BAR","PURCHASE            LJ'S SWEETHA",-31.00,
18,9/4/2018 0:00:00,"142005","BNCB-Clin 34401 So","PURCHASE            BNCB-Clin 34",-233.20,
19,9/4/2018 0:00:00,"77404","KROGER #774","PURCHASE            KROGER #774",-6.19,
20,9/5/2018 0:00:00,"63113","MEIJER # 063","PURCHASE            MEIJER # 063",-37.58,
21,9/5/2018 0:00:00,"0","SALLIEMAE-FDR    AUTOPAY","SALLIEMAE-FDR   AUTOPAY   180903",-45.91,
22,9/6/2018 0:00:00,"0","HARPER LIQUOR LAND","PURCHASE            HARPER LIQUO",-21.19,
23,9/6/2018 0:00:00,"0","JIMMY JOHNS - 2619","PURCHASE            JIMMY JOHNS",-15.77,
24,9/6/2018 0:00:00,"907427","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-17.10,
25,9/6/2018 0:00:00,"77415","KROGER #774","PURCHASE            KROGER #774",-16.21,
26,9/7/2018 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    180907",571.44,
27,9/10/2018 0:00:00,"0","VIP NAILS","PURCHASE            VIP NAILS",-25.00,
28,9/10/2018 0:00:00,"0","SPICER ORCHARDS","PURCHASE            SPICER ORCHA",-17.90,
29,9/10/2018 0:00:00,"600001","CLYDE ROAD","PURCHASE            CLYDE ROAD",-7.59,
30,9/10/2018 0:00:00,"0","TOM WALKERS GRIST MILL","PURCHASE            TOM WALKERS",-17.50,
31,9/10/2018 0:00:00,"0","BRIGHTON BOWL","PURCHASE            BRIGHTON BOW",-22.00,
32,9/10/2018 0:00:00,"0","CLEARYS PUB","PURCHASE            CLEARYS PUB",-41.71,
33,9/10/2018 0:00:00,"0","SPEEDWAY 05515 M59","PURCHASE            SPEEDWAY 055",-66.52,
34,9/10/2018 0:00:00,"20057","SPEEDWAY 05515 M59","PURCHASE            SPEEDWAY 055",-6.95,
35,9/11/2018 0:00:00,"4344","HUNTINGTON ATM CASH WITHDRAWAL","HUNTINGTON ATM CASH WITHDRAWAL",-75.00,
36,9/12/2018 0:00:00,"0","TACO BELL 313000313023","PURCHASE            TACO BELL 31",-12.48,
37,9/17/2018 0:00:00,"0","TACO BELL #27361","PURCHASE            TACO BELL #2",-4.34,
38,9/17/2018 0:00:00,"0","RED ROBIN ROSEVILL","PURCHASE            RED ROBIN RO",-23.83,
39,9/17/2018 0:00:00,"907426","KROGER FU 20705 13","PURCHASE            KROGER FU 20",-50.08,
40,9/21/2018 0:00:00,"0","GA4631 CHURCH OF DIRDEP","GA4631 CHURCH OFDIRDEP    180921",314.49,
41,9/21/2018 0:00:00,"0","VZWRLSS*BILL PAY  VN","PURCHASE            VZWRLSS*BILL",-135.18,
